workload,gap_tsc_ticks,k_prefill,submitted,samples,median_submit_ns,p90_submit_ns,p99_submit_ns,median_prefill_submit_tsc_ticks,avg_prefill_submit_tsc_ticks,median_post_submit_completion_tsc_ticks,min_prefill_completed,max_prefill_completed,median_hardware_observed,min_hardware_observed,max_hardware_observed,min_trace_missing,max_trace_missing,trace_errors_max,drain_completed_samples,drain_incomplete_samples,drain_statuses
4KiB,10,128,129,10,12.0,13,365,8778.0,7839.4,87969.0,128,128,129.0,129,129,0,0,0,10,0,1
4KiB,10,160,161,10,215.0,217,218,24954.0,25250.4,92647.0,160,160,161.0,161,161,0,0,0,10,0,1
4KiB,10,192,193,10,212.0,217,223,32569.0,32661.2,56698.0,192,192,193.0,193,193,0,0,0,10,0,1
4KiB,10,224,225,10,212.5,216,218,26629.0,27912.8,2263974.0,175,194,190.0,175,194,31,50,0,10,0,1
4KiB,10,256,257,10,214.0,217,217,34592.0,34670.6,52846.0,256,256,257.0,257,257,0,0,0,10,0,1
4KiB,10,288,289,10,211.5,216,219,41172.0,41221.8,71557.0,288,288,289.0,289,289,0,0,0,10,0,1
4KiB,10,320,321,10,214.5,219,222,49476.0,51097.6,2261062.0,197,210,202.0,198,210,111,123,0,10,0,1
4KiB,25,96,97,10,13.0,14,60,6661.0,7777.4,187058.0,96,96,97.0,97,97,0,0,0,10,0,1
4KiB,25,114,115,10,12.0,13,13,10202.0,9571,41325.0,114,114,115.0,115,115,0,0,0,10,0,1
4KiB,25,128,129,10,12.0,13,14,11498.0,11544.4,38446.0,128,128,129.0,129,129,0,0,0,10,0,1
4KiB,25,160,161,10,35.0,390,394,12750.0,12458.4,201976.0,160,160,161.0,161,161,0,0,0,10,0,1
4KiB,25,192,193,10,217.0,222,226,33032.0,33022,34634.0,192,192,193.0,193,193,0,0,0,10,0,1
4KiB,25,224,225,10,212.5,217,225,26921.0,26970.6,51073.0,224,224,225.0,225,225,0,0,0,10,0,1
4KiB,25,256,257,10,216.5,221,318,34178.0,34275,2250116.0,234,244,241.0,234,244,13,23,0,10,0,1
4KiB,25,288,289,10,215.0,220,223,41815.0,43072.8,2274181.0,214,226,219.5,215,226,63,74,0,10,0,1
4KiB,25,320,321,10,210.5,217,221,49235.0,50475,2271968.0,196,202,199.0,196,202,119,125,0,10,0,1
4KiB,50,96,97,10,13.0,213,218,11364.0,11393.2,35835.0,96,96,97.0,97,97,0,0,0,10,0,1
4KiB,50,114,115,10,12.0,196,211,12495.0,12805,191913.0,114,114,115.0,115,115,0,0,0,10,0,1
4KiB,50,128,129,10,215.0,222,222,17525.0,17592.2,122031.0,128,128,129.0,129,129,0,0,0,10,0,1
4KiB,50,160,161,10,212.5,216,217,25770.0,26141.2,32560.0,160,160,161.0,161,161,0,0,0,10,0,1
4KiB,50,192,193,10,211.5,228,263,32650.0,29390.6,66027.0,192,192,193.0,193,193,0,0,0,10,0,1
4KiB,50,224,225,10,216.5,219,220,27137.0,27167,52761.0,224,224,225.0,225,225,0,0,0,10,0,1
4KiB,50,256,257,10,215.0,217,227,34335.0,36339,2264229.0,197,205,198.0,197,206,51,60,0,10,0,1
4KiB,50,288,289,10,207.0,222,223,55354.0,55456.8,43318.0,288,288,289.0,289,289,0,0,0,10,0,1
4KiB,50,320,321,10,210.5,222,229,49668.0,49727,57610.0,320,320,321.0,321,321,0,0,0,10,0,1
4KiB,100,96,97,10,12.5,14,14,15509.0,16053,34791.0,96,96,97.0,97,97,0,0,0,10,0,1
4KiB,100,114,115,10,13.0,16,22,18545.0,18969.4,31789.0,114,114,115.0,115,115,0,0,0,10,0,1
4KiB,100,128,129,10,12.0,13,13,18929.0,19851.2,152599.0,128,128,129.0,129,129,0,0,0,10,0,1
4KiB,100,160,161,10,12.0,13,13,22701.0,22795.2,50996.0,160,160,161.0,161,161,0,0,0,10,0,1
4KiB,100,192,193,10,12.0,13,13,27060.0,25963.8,1197139.0,185,192,191.5,186,193,0,7,0,10,0,1
4KiB,100,224,225,10,12.0,13,13,30535.0,30581.8,46927.0,224,224,225.0,225,225,0,0,0,10,0,1
